老朽	老而 衰败 老朽 以终
勃然大怒	变脸 发脾气
大发雷霆	霆 极响 雷 比喻 震怒 比喻 发脾气 大声 斥责
暴跳如雷	暴 暴烈 急躁 急怒 跳 打雷 猛烈 形容 急 怒 发脾气 样子
怒气冲天	怒气 冲上 天空 形容 愤怒 到极点
令人发指	发指 头发 竖起 形容 愤怒 使人 头发 竖起 形容 使人 愤怒
怒发冲冠	NONE
气冲牛斗	NONE
义愤填膺	义愤 违反 正义 事情 愤怒 膺 胸 发于 正义 愤懑 充满 胸中
悲愤填膺	膺 胸 悲痛 愤怒 充满 胸中
天怒人怨	天公 震怒 怨恨 形容 为害 作恶 愤怒
老羞成怒	羞愧 极点 下不了台 发怒
怒目圆睁	形容 愤怒
捶胸顿足	捶 敲打 顿 跺 敲 胸口 跺 双脚 形容 懊丧 悲痛
泄恨	发泄 内心 愤恨
泄愤	发泄 心中 愤恨
出气	怨恨 发泄
撒气	事物 发泄 怒气
迁怒	怒气 某人 怒气 发泄 身上
泄私愤	NONE
得意	满意 感到 时 心情
抖	振动 甩动 身上 土
美	好善 德 学 谈审 ～～ 丽 容 美化 容貌 收
飘飘然	迷恋 某人 怀有 骄傲自大 情绪 感到 轻飘飘 形容 得意 含 贬义
怡然自得	NONE
扬扬得意	形容 得意 样子
扬眉吐气	NONE
自鸣得意	鸣 了不起 得意
春风得意	得意 扬扬自得 样子 旧时 形容 考中 进士 兴奋 心情 形容 职位 升迁 顺利
扬扬自得	得意 样子
自得其乐	乐趣
沾沾自喜	形容 不错 得意 样子
自我欣赏	指 欣赏
摇头晃脑	晃 摇动 脑袋 摇来 摇去 形容 感觉 乐趣 很不差 样子
摇头摆尾	NONE
踌躇满志	踌躇 从容 自得 样子 志 志愿 形容 成就 得意
得意忘形	NONE
顾盼自雄	左看 右 了不起 形容 得意忘形 样子
吐气扬眉	形容 受 压抑 心情 得以 舒展 感到 快意
志得意满	志向 心满意足
惆怅	NONE
怅惘	失意 心事重重 惆怅 迷惘
惘然	NONE
怅	失意 痛快 然若失 恍 恍惚 怅然 怀想 惘 惋 ～～ 惆
忽忽	NONE
忽忽不乐	忽忽 心中 空虚 恍惚 情态 形容 若有所失 样子
惘然若失	惘然 失意 样子 心情 舒畅 好像 丢掉 东西
若有所失	好像 丢 形容 心神不定 样子 形容 感到 空虚
怅然若失	怅然 形容 不如意 痛快 烦恼 不快
迷惘	迷惑 失措 清   蒲松龄 聊斋志异 三仙及 醒 红日 已高 四顾 无院 宇主僕 卧 山谷 中大骇见 傍有 一洞 水 涓涓 流自讶 迷惘 徐特立 科学化 民族化 大众化 文化教育 科学 提高 自觉 非 科学 东西 加深 迷惘 碧野大 海风 涛 初次 踏上 人生 征途 人海茫茫 指引 航向 灯塔 感到 迷惘
怅然	不如意 感到 痛快
失意	自已 意愿 不得志
向隅	NONE
灰心	NONE
丧气	不顺心 情绪低落
泄气	气球 轮胎 中 排出 空气 气体
泄劲	干劲儿
气短	志气 沮丧 勇气 信心
气馁	灰心丧气 勇气
自馁	自信 畏缩
凉	NONE
懊丧	懊恼 沮丧
沮丧	灰心 失望
灰溜溜	形容 颜色 暗淡 懊丧 消沉 神态
心灰意懒	心意 心思 意志 灰懒 消沉 消极 灰心 失望 意志 消沉
灰心丧气	灰心 心如 熄灭 死灰 丧失 形容 失败 顺利 信心 意志 消沉
垂头丧气	垂头 耷拉 脑袋 丧气 神情沮丧 形容 失败 顺利 情绪低落 萎靡不振 样子
心如死灰	死灰 冷却 灰烬 原指 心境 淡漠 情感 现 形容 意志 消沉 态度 冷漠 到极点
槁木死灰	枯干 树木 火灭 冷灰 比喻 心情 消沉 事情 无动于衷
万念俱灰	想法 打算 破灭 形容 灰心 失望 心情
心灰意冷	灰心 失望 意志 消沉
蔫头耷脑	没精打采 样子 梁斌 红旗谱 二三 李德才   顺原路 走 回来 严志   蔫头耷脑 十月 年 第期   金 连城   严厉 爸爸 数叨 蔫头耷脑 无言 答对 倒楣   谷 老头   一步 迈进 酒店
心寒	失望 痛心
寒心	失望 痛心
颓丧	消极 颓唐
颓废	颓毁 荒废
颓败	颓废 败坏
颓靡	精神不振
颓然	寂静 寂然
颓唐	萎靡不振 样子
委靡	困顿 不振 意志 消沉
累累	憔悴 颓丧 样子
萎靡不振	萎靡 颓丧 形容 精神不振 意志 消沉
颓	崩坏 倒塌 坏 圮 垣 断壁
委靡不振	委靡 作 萎靡 颓丧 形容 精神不振 意志 消沉
失望	丧失 信心 希望 没能 威胁 搜索 铜元 失望 之余 抢走了 怀表 钢笔 同志 信任
大失所望	希望 落空
失落	丢失 失掉
筹措	设法 筹集 想 办法 弄
运筹	筹划 制定 策略 谋划
运筹帷幄	筹 计谋 谋划 帷幄 古代 军中 帐幕 指 拟定 作战 策略 引申为 筹划 指挥
统揽全局	NONE
星火计划	NONE
打算	ǎ à 音义 打算 ǎ à
算计	à ì 音义 算计 à ì
计算	已知 量算出 未知量 运算
盘算	事情 过程 仔细 从容
准备	事先 计划 筹备
计较	计算 得失
试图	打算
待	等候 旦 拭目
拟	打算 信 议
计	核算 时 量 à～ 日程 功
打小算盘	小处 精打细算 斤斤计较
意欲	意欲
刻划	雕刻 刻印
精算	精算 简单 说 经济学 基本原理 数学 统计学 金融学 法学 科学 方法 经济 活动 中 未来 风险 分析 评估 管理 金融 投资 稳健 经营 基础
人有千算	NONE
打算	ǎ à 音义 打算 ǎ à
休想	别想
满足	感到 足够
知足	蹰 犹豫 走 走 样子 蹰 前亦作 踟躇
满	NONE
偿	归还 补 命 债赔 失
知足常乐	快乐 形容 安于 利益 地位
轻松	感到 负担 紧张
自在	NONE
优哉游哉	NONE
逍遥自在	NONE
清闲自在	清静 空闲 无拘无束 形容 生活 安闲 舒适
自由自在	形容 约束 安闲 随意
轻轻松松	NONE
畅	阻碍 通 达 销流 通
敞	房屋 庭院 遮蔽 亮 宽
酣	酒 喝 畅快 饮半 ～～ 醉酒 耳热
尽兴	兴趣
开怀	NONE
骋怀	开怀
敞开	关闭 位置 打开
自慰	安慰 痛苦 沮丧 时 予以 自我安慰 减轻 忧愁 振奋精神
聊以自慰	聊 安慰
聊以解嘲	解 消除 嘲 嘲笑 解脱 嘲笑 事情
望梅止渴	原意 梅子 酸人 想 吃 梅子 流涎 止渴 比喻 愿望 空想 安慰
画饼充饥	NONE
瞑目	NONE
九泉瞑目	NONE
含笑九泉	九泉 地下 深处 旧 指人 死 埋葬 地方 作 黄泉 九泉之下 满含 笑容 死后 感到 欣慰
不安	安宁
紧张	精神 处于 高度 状态
乱	秩序 套紊 凌
烦乱	心情 烦闷 思绪 混乱
浮动	非 固定
打鼓	感到 把握
疚	长期 生病
食不甘味	NONE
心事重重	挂 沉重 顾虑
心烦意乱	意 心思 心思 烦乱 不知
心慌意乱	慌乱 主意
心乱如麻	乱 一团乱麻 形容 烦乱
方寸已乱	心 乱
心神不定	安定 烦躁 精神 不安
若有所失	好像 丢 形容 心神不定 样子 形容 感到 空虚
六神无主	六神 道家 心肺 肝肾 脾胆 各有 神灵 主宰 称为 六神 形容 惊慌 着急 没了 主意 不知
神魂颠倒	神魂 精神 神志 精神恍惚 颠三倒四 常态
魂不守舍	舍 住宅 比喻 躯壳 灵魂 离开 躯壳 指 人之将死 形容 精神恍惚
魂不附体	附 依附 灵魂 离开 身体 形容 惊恐 某种事物 诱惑 常态
坐立不安	坐 站 形容 心情 紧张 情绪 不安
坐卧不宁	坐 躺 安宁 形容 心绪 烦乱
惶恐不安	惶恐 惧 内心 害怕 不安
惴惴不安	惴 忧愁 恐惧 形容 害怕 担心 不安
诚惶诚恐	诚实 惶 害怕 恐 畏惧 小心谨慎 害怕 不安 程度
七上八下	形容 无所适从 心神不宁 指 不上不下 处于 中等 位置 形容 杂乱 整齐
忐忑不安	忐忑 心神不定 心神 不安
如坐针毡	坐在 插 针 毡子 形容 心神不定 坐立不安
芒刺在背	芒刺 细刺 象 芒 刺扎 背上 形容 内心 惶恐 坐立不安
惶惶不可终日	惊慌 地连 过不下去 形容 惊恐不安 极点
紧紧张张	NONE
令人不安	NONE
寝食难安	放心不下 眼前 事 焦急 极点
心神不安	安 安定 烦躁 精神 不安
寝食不安	睡 不好 觉吃 不好 饭 忧虑 担心 样子
惴惴	恐惧 样子
仄	倾斜 立日
忐忑	心神不定 七上八下
抱歉	心有 愧疚 不安 对不住
抱愧	心中 有愧 负疚
负疚	感到 内疚 抱歉 不安
内疚	感到 惭愧 不安
愧疚	惭愧 内疚
歉疚	对不起 惭愧 不安
歉	对不住 意 疚 抱 道
有愧	NONE
愧对	NONE
无愧	对不起 之处
不愧	无愧于 名副其实
硬气	
对得起	无愧于 辜负 说 对得住
对得住	对得起 儿女 英雄传 第十五回 请问 地方官 真 对得住 百姓 官场 现形记 第三 八回 检了 做官 女婿 年轻 有钱 总算 对得住 孙中山 三民主义 中国 前途 闭眼 想想 历史 祖宗 流血 成河 伏尸 蔽野 光景 祖宗 对得住 子孙
理直气壮	理直 理由 正确 气壮 气势 旺盛 理由 说话 气势 壮
心安理得	适合 做 事情 合乎 道理 坦然
问心无愧	问心 问问 扪心自问 愧色
当之无愧	无愧 愧色 当得起 某种 称号 荣誉 无须 感到 惭愧
无愧于	NONE
不愧为	无愧于 名副其实
镇静	心情 安定 平静
沉着	从容 镇静 不慌不忙
镇定	紧急情况 慌乱
沉住气	NONE
行若无事	行 办事 好像 指人 紧急 关头 态度 镇定 慌乱 指 坏人坏事 听之任之 满不在乎
若无其事	那回事 形容 遇事 沉着 镇定 事情 放在心上
措置裕如	措置 安排 裕如 从容不迫 办法 样子 事情 从容不迫 常用 称赞 人有 办事 经验
处之泰然	处 泰然 安然 不以为意 样子 若无其事 样子 形容 自理 事情 沉着 镇定 指 毫不在意
泰然处之	泰然 安然 不以为意 样子 处 形容 毫不在意 沉着 镇定
泰然自若	不以为意 神情 形容 紧急情况 沉着 镇定 不慌不乱
谈笑自若	自若 平常 指能 平静 发生 情况 说说笑笑 不改 常态
满不在乎	满全 在乎 在意 丝 毫不在意 形容 事情 一点 重视
不动声色	NONE
面不改色	脸色 形容 从容 镇静 样子
宠辱不惊	宠 宠爱 受宠 受辱 不在乎 指不因 个人得失 动心
稳如泰山	形容 象 泰山 稳固 不可动摇
镇定自若	紧急情况 不慌不乱
熙和恬静	NONE
波澜不惊	NONE
守静	清静 无所 企求 语出 老子 致虚极 守静 篤河 上公   注守 清静 行篤厚 后汉书 羊续   羊续   坐党 事禁錮 十餘年 幽居 守静 晋书 王湛传   王湛   遭父 丧居 於 墓次 服闋 闔 门 守静 不交当 世冲素 简淡 器量 隤 然有 公辅之 唐   王维 赠房 卢氏 琯 诗 海岳居 守静 解天 刑清   王夫之 张 子正蒙 注 神化 释言 真空   言 守静 皆 神化 无有 而思 超越
处变不惊	面对 变乱 镇定自若 惊慌
定神	集中精力 注意力
毫不动摇	丝毫 改变 一点 动摇
见惯不惊	习以为常
从容	悠闲 舒缓
不慌不忙	慌张 忙乱 形容 态度 镇定 办事 稳重 踏实
从容不迫	从容 不慌不忙 镇静 不迫 急促 不慌不忙 沉着 镇定
好整以暇	整 严整 暇 急迫 形容 严整 从容 指 事情 虽多 从容不迫
不慌不乱	NONE
从从容容	NONE
慌张	形不 沉着 动作 忙乱
发慌	沉着 心神不安
着慌	着急 慌张
心慌	内心 发慌
惊慌	惊恐 慌乱
惊惶	作惊皇 震惊 惶恐 惊慌
发毛	汗毛 竖起 来喻 指 惊惧
张皇	惊慌 慌张
仓皇	匆促 慌张 作仓 黄苍皇 苍黄
惶遽	惊恐 慌张
慌乱	慌张 忙乱
慌	急忙 沉着 张 忙 乱 急
毛	动植物 皮 所生 丝状 物 笔羽 ～～ 织品 骨 悚然 轻于 鸿
慌手慌脚	形容 动作 忙乱
手忙脚乱	形容 遇事 慌张 不知 如何是好
心慌意乱	慌乱 主意
不知所措	NONE
张皇失措	张皇 慌张 失措 举止 常态 惊慌 不知
手足无措	措 安放 手脚 不知 放到 形容 举动 慌张 应付
无所措手足	手脚 地方 放 形容 办法 不知 如何是好
惊慌失措	失措 常态 惊慌 一下子 不知
失魂落魄	魂魄 旧指 人身 中 离开 形体 精神 为魂 依附 形体 显现 精神 为魄 形容 惊慌 忧虑 心神不定 失常 样子
惊魂未定	NONE
心惊肉跳	形容 担心 灾祸 临头 恐慌 不安
自相惊扰	惊动 骚乱
慌慌张张	形容 举止 慌张 稳重
慌里慌张	指 焦急 不安 精神 慌乱
恐慌	恐惧 惊慌
无所适从	适归 不知 听从 指 不知
断线风筝	象放 上天 断了线 风筝 比喻 一去不回 东西
没着没落	NONE
多躁少静	NONE
遑	闲暇 未
仓惶	仓皇
大呼小叫	高 一声 低 一声 乱叫 乱喊
虚惊	事后 不必要 惊慌
受宠若惊	宠 宠爱 宠爱 赏识 不安
大题小做	大题目 作成 文章 比喻 当做 事情
急切	紧急 迫切
迫切	紧急 至关重要
亟	急切 ～～～ 解决 须 纠正
如饥如渴	形容 迫切 心情
饥不择食	择 挑拣 吃 比喻 急迫 顾不得 选择
急功近利	功 成功 眼前 急于求成 贪图 眼前 成效 利益
急于求成	急 急切 急 取得成功
归心似箭	想 回家 心情 射出 箭 形容 回家 心切
急不可待	急得 等待 形容 心怀 急切 形势 紧迫
急不可耐	急得 等待 形容 心怀 急切 形势 紧迫
急于	着急 想来
亟待解决	急切
情急	某种 形势 所迫 心中 着急
殷切	深厚 迫切
殷殷	情意深厚 样子
恨铁不成钢	形容 期望 不争气 不上 进 感到 急切 希望 变好
如饥似渴	形容 迫切 好像 饿 急 吃饭 渴 急 喝水
决意	拿定主意
决心	坚定不移 意志
决计	主意 已定
决定	做出
立意	拿定主意
定弦	所需 音高 乐器 弦 松   紧 程度 比喻 打定主意
锐意	意志 勇往直前
狠心	心地 残酷
下狠心	NONE
铁心	喻指 下定决心
发狠	横下心 咬牙
立志	立下 志愿 树定 志向
矢志	立下 誓愿 志向 以示 决心
发誓	庄严 说出 表示决心
誓	当众 表示决心 说 实行 师 词 愿 死
咬紧牙关	努力 忍受 痛苦 克服困难
痛下决心	NONE
厉害	剧烈 猛烈 手段
了得	惊讶 反诘 责备 语气 句子 末尾 情况严重 难以 收拾
犹豫	犹移 迟疑不决
犹疑	犹豫
迟疑	犹豫不决
踟蹰	徘徊 心中 犹疑 走 走 样子
踌躇	犹豫不决
动摇	两种 对立 意见 之间 两条 对立 路线 之间 摇摆不定
徘徊	地方 来回 走
趑趄	行走 困难
瞻顾	瞻前顾后 思前想后 可指 小心谨慎 办事 周到 指 办事 犹豫不决
瞻前顾后	瞻 向前 看顾 回头 形容 做事 周密 慎重 形容 顾虑 太多 犹豫不决
犹豫不决	犹豫 迟疑 拿不定 主意
踟蹰不前	迟疑不决
趑趄不前	趑趄 迟疑 形容 犹豫 畏缩
裹足不前	裹 缠 停步 不前 好像 脚 缠住
优柔寡断	优柔 犹豫不决 寡少 指 做事 犹豫 缺乏 决断
狐疑不决	狐狸 多疑 称 多疑 狐疑 形容 疑惑
迟疑不决	形容 拿不定 主意
沉吟不决	沉吟 深思 吟味 引伸 犹豫 决 决断 形容 难题 时 自言自语
举棋不定	棋子 不知 比喻 犹豫不决 拿不定 主意
欲言又止	想 说 停止 不说 形容 难言 苦衷
首鼠两端	首鼠 鼠性 多疑 出洞 时 一进 一退 自决 两端 拿不定 主意 两者之间 犹豫不决 动摇不定
犹犹豫豫	NONE
犹豫不前	NONE
踌躇不前	踌躇 迟疑不决 样子 犹豫不决
当断不断	NONE
游移	犹豫不决 举棋不定 踌躇 左右摇摆
彷徨	徘徊 走来走去 走
支支吾吾	指 说话 吞吞吐吐 含混 躲闪 作支 支梧梧
三心二意	想 想 犹豫不定 常指 安心 专一
见异思迁	迁 变动 事物 想 改变 主意 指 意志 坚定 喜爱 专一
朝三暮四	NONE
朝令夕改	早晨 发布 命令 晚上 改 比喻 改变 办法 一会儿 一个样
朝秦暮楚	战国时期 秦楚 两个 诸侯 大国 相互 对立 作战 诸侯 小国 利益 时而 倾向 秦 时而 倾向 楚 比喻 反复无常
无奈	办法
无可奈何	NONE
百般无奈	NONE
不得已	NONE
迫不得已	逼 办法
万不得已	无可奈何
没法	NONE
没奈何	NONE
有心无力	愿望 打算 力量 付诸
万般无奈	万般 无奈 无可奈何 形容 无奈 办法
迫于	某种 压力
远水解不了近渴	比喻 慢 办法 救 急
可望而不可及	指只 仰望 接近
无法	没辙 想不出 办法
没辙	一点 办法
没门儿	
无计可施	NONE
束手无策	策 办法 手 捆住 一点 办法
别无良策	NONE
一筹莫展	筹 筹划 计谋 展 施展 一点 计策 施展 不出 一点 办法 想
黔驴技穷	黔 贵州省 一带 技 技能 穷尽 比喻 有限 一点 本领 完
力不从心	想 做 力量 够不上
力不胜任	胜任 担当 能力 担当
举鼎绝膑	折断 膑 胫骨 双手 举鼎 折断 胫骨 比喻 能力 负担 重任
无能为力	施展 力量 指使 上劲 能力 做好 某件事 情 解决
心余力绌	想 做 力量
心有余而力不足	NONE
独木难支	一根 木头 支 不住 高大 房子 比喻 力量 单薄 不住 全局
孤掌难鸣	一个巴掌拍不响 比喻 力量 孤单 难以 成事
望洋兴叹	望洋 仰视 样子 仰望 海神 兴叹 原指 事物 面前 感叹 渺小 现多 比喻 做事 时因 力不胜任 条件 感到 无可奈何
爱莫能助	爱 爱惜 心中 关切 同情 力量
鞭长莫及	原意 鞭子 虽长 打马 肚子 比喻 相隔 太远 力量 达 不到
回天乏术	回天 比喻 力量 大能 移转 极难 挽回 时势 乏术 缺少 方法 比喻 局势 病情严重 无法挽救
独木不成林	一棵树 成不了 森林 比喻 力量 有限 办不成
黔驴之技	比喻 有限 一点 本领
无从	指做 某件事 办法 找 不到 头绪
没门	NONE
没法儿	毫无办法
无力回天	无力回天 形容 事态 发展 无法挽回 地步 比喻 局势 病情严重 无法挽救
山穷水尽	山和水 尽头 比喻 无路可走 陷入绝境
日暮途穷	暮 傍晚 途路天 晚 路 走 尽头 比喻 处境 十分困难 末日 形容 穷困 到极点
束手待毙	毙死 捆起 手来 死 比喻 遇到困难 想 办法 坐 失败
坐以待毙	坐 死 形容 极端困难 中 想 办法 找出路
听天由命	听从 随顺 听任 事态 自然 发展 变化 做 主观努力 比喻 碰 机会
死路一条	无路可走 比喻 前途
在劫难逃	旧时 迷信 命里注定 遭受 灾难 逃脱 现有 时 指 某种 灾害 不可避免
抓瞎	毫无准备 仓皇失措
抓耳挠腮	挠 搔 抓 抓 耳朵 搔 搔 肋 帮子 形容 焦急 无法可想 样子
无从下手	途径 没法 着手 办
专心	用心 专一 一心 不二
悉心	尽心 全心
潜心	专心
入神	专注 眼前 浓厚兴趣 事物 陷入 沉思
凝神	NONE
一心一意	心思 意念 专一
全心全意	投入 精力 一点 保留
专心一志	形容 一心一意 集中精力
专心致志	致尽 极志 意志 心思 全 放在 形容 一心一意 聚精会神
心无二用	指 做事 专心 注意力
聚精会神	原指 君臣 协力 集思广益 形容 精神 高度集中
全神贯注	贯注 精神 一点 形容 注意力 高度集中
凝神专注	NONE
心驰神往	驰 奔驰 心神 奔 向往 事物 形容 一心 向往
专一	单一 专注 统一 特征
一门心思	指 一心一意
一心	全心全意 专心 一心一意
全身心	NONE
直视	注视 前方 正视
分心	生气 恨 恨 怒 詈 愤怒 骂 不服气 不平 气 不平 事 心中 不服气 ～～ 不平
心不在焉	心思 不在 指 思想
心猿意马	心意 好像 猴子 跳马 奔跑 控制 不住 形容 东想 西想 安静
魂不守舍	舍 住宅 比喻 躯壳 灵魂 离开 躯壳 指 人之将死 形容 精神恍惚
沉迷	深深地 迷惑 迷恋 事物
着迷	入迷
入迷	喜欢 某种事物 沉迷 程度
痴迷	入迷 呆傻 程度 沉迷不悟
迷恋	爱慕
入魔	某种事物 迷恋 理智 地步
着魔	事情 言行 反常
沉湎	沉溺 耽于 比喻 潜心于 事物 处于 某种 境界 思维 活动 中
沉溺	无节制 沉湎 放纵
热中	相关 事物 急于
迷	分辨 不清 辨别 判断 能力 信 糊 津 惘 蒙 ａ 昏暗 看不清 ｂ 神志 模糊不清 ｅ 迷惑 受 蒙蔽 执 不悟
痴	傻 无知 说 梦 钝 愚白
耽	沉溺 入迷 乐
眩	眼睛 昏花 看不清楚 晕 瞀 头昏 目
痴心妄想	痴心 沉迷于 某人 某事 心思 妄想 荒诞 打算 心想 事 指 愚蠢 荒唐 想法
神魂颠倒	神魂 精神 神志 精神恍惚 颠三倒四 常态
